,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
6349,Island_Paradise,Drugs and Chemicals,Stimulants,Meth,Meth,[5 GRAMS] ★ CRYSTAL METH HQ ICE SHARDS ★,155.13,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-grams-crystal-meth-hq-ice-shards
6350,MicroDroper,Drugs and Chemicals,Benzos,RC,RC,ETIZOLAM (PURE) - 10 grams,449.99,China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/etizolam-pure-10-grams
6351,PitStopUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1000g Apple Haze AAAA++ - UK,"9,036.47",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1000g-apple-haze-aaaa-uk
6352,ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g Dust Shake *** ElizabethQueen2** Fire Quality,69.51,,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-dust-shake-elizabethqueen2-fire-quality
6353,shorestore,Drugs and Chemicals,Opiates,Heroin,Heroin,5_GR UNCUT 100% PURE HEROIN / PERFECT FOR RESALE,250.59,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gr-uncut-100-pure-heroin-perfect-for-resale
6354,THEJ0KER,Drugs and Chemicals,Stimulants,Crack,Crack,###TEST SAMP 1G Bolvian Free Base High Quality 91%,47.73,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/test-samp-1g-bolvian-free-base-high-quality-91
6355,tomandjerry,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,Quad (7 grams) Ketamine [S],149.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/quad-7-grams-ketamine-s
6356,superdrugs,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,7G FIRE COCAINE EXCELLENT QUALITY  £430,597.80,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-fire-cocaine-excellent-quality-430
6357,akgeneric,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Ambien Belbien 10mg (zolpidem) 300 Tablets,440.00,Greece,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ambien-belbien-10mg-zolpidem-300-tablets
6358,hollandgottalent,Drugs and Chemicals,Benzos,Pills,Pills,500 TABLETS *XTC PILLS REDBULL 230 MG *,745.81,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-tablets-xtc-pills-redbull-230-mg
6359,ChemistWarehouse,Drugs and Chemicals,Stimulants,Meth,Meth,A-PiHP - 1000mg,465.10,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/a-pihp-1000mg
6360,gratefullydead,Drugs and Chemicals,Psychedelics,DOC,DOC,FREE DRUGS get 10 hitS 2C-C,40.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/free-drugs-get-10-hits-2c-c-1
6361,MrMaserati,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,👑 2 gram Royal Quality Cocaine 👑 (1KG FREE=READ),196.83,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2-gram-royal-quality-cocaine-1kg-freeread-1
6362,Everylittlehalps,Drugs and Chemicals,Ecstasy,MDMA,MDMA,*LIMITED OFFER* 28G PURE MDMA PLATINUM 86% CRYSTAL,208.53,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/limited-offer-28g-pure-mdma-platinum-86-crystal
6363,WeedShopHulk,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,20G Pakistanais Chitral Kush!!,190.93,France,France,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/20g-pakistanais-chitral-kush
6364,NightlifeKings,Drugs and Chemicals,Stimulants,Speed,Speed,5 Grams HQ Amphetamine Speed Paste,33.41,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-grams-hq-amphetamine-speed-paste
6365,GreyGooseGlobal,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,5GR II FISHSCALE UNCUT COCAINE FLAKES II 🇩🇪,357.99,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5gr-ii-fishscale-uncut-cocaine-flakes-ii
