,vendor,category_level_1,category_level_2,category_level_3,highest_category,product,price in $,shipping_from,shipping_to,url
4293,Robkam123,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Pink Death   14 Grams,95.00,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pink-death-14-grams
4294,DrugsCenter,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,12g DC Orange Bud DC (( Mid Quaity Browny)),55.61,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/12g-dc-orange-bud-dc-mid-quaity-browny
4295,RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,2x Bubblegum Haze THC Vape Juice 10ml - UK,76.46,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2x-bubblegum-haze-thc-vape-juice-10ml-uk
4296,drkend,Drugs and Chemicals,,,Drugs and Chemicals,BUY CARFENTANIL ONLINE (100G ),"1,290.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/buy-carfentanil-online-100g
4297,ElizabethQueen2,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,250g **** Amnesia haze ***** ElizabethQueen2,"1,807.29",United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250g-amnesia-haze-elizabethqueen2
4298,akgeneric,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Neurontin 300mg (Gabapentin) 100 tablets,50.00,India,"United Kingdom, United States",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/neurontin-300mg-gabapentin-100-tablets
4299,exclusivepharma,Drugs and Chemicals,Benzos,Pills,Pills,Kamagra Jelly 100 mg x 35 sachet,62.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/kamagra-jelly-100-mg-x-35-sachet
4300,mowglinl,Drugs and Chemicals,Opiates,Heroin,Heroin,10 GR  SUPER  TURKISH HEROIN,167.06,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-gr-super-turkish-heroin
4301,JanesAddiction,Drugs and Chemicals,Ecstasy,MDMA,MDMA,2g MDMA - *Dutch Moonrock,80.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-mdma-dutch-moonrock
4302,TheBodyShop,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,GABAPENTIN Neurotin 400mg 200 tabs,179.00,India,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/gabapentin-neurotin-400mg-200-tabs
4303,TonysDrugsStore,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Royal Kush 14 gram,152.92,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/royal-kush-14-gram
4304,RXChemist,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,KAMINI ORAL JELLY 100 / oral jelly 133 usd,133.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/kamini-oral-jelly-100-oral-jelly-133-usd
4305,MadeInFrance,Drugs and Chemicals,Opiates,,Opiates,2000 x Pain killer/Oxycodone like - Very cheap !,"2,863.92",France,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2000-x-pain-killeroxycodone-like-very-cheap
4306,StrainPirate,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,1oz Girl Scout Cookies Greenhouse,160.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1oz-girl-scout-cookies-greenhouse
4307,NextLevel,Drugs and Chemicals,Ecstasy,Pills,Pills,50x Donald Trump 240mg XTC - WorldWide Shipping!,95.46,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50x-donald-trump-240mg-xtc-worldwide-shipping
4308,jnenfrancis,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,28G PP500 HASH **FREE UK DELIVERY**,276.65,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-pp500-hash-free-uk-delivery
4309,StrangeLife,Drugs and Chemicals,Benzos,Pills,Pills,Xanax 1mg Ksalol - x30 tablets,150.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-1mg-ksalol-x30-tablets
4310,Medicalking007,Drugs and Chemicals,Opiates,Heroin,Heroin,Fentanyl patch Aurobindo 3 x 50ugl 90 euro,107.40,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/fentanyl-patch-aurobindo-3-x-50ugl-90-euro
4311,Coffeshop,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,KETAMINE S-isomer HIGH QUALITY  100 GRAM,"1,968.94",Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/ketamine-s-isomer-high-quality-100-gram
4312,Island_Paradise,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,[50 GRAMS] ★ KETAMINE HIGH QUALITY NEEDLE ★,656.31,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-grams-ketamine-high-quality-needle
4313,DutchDrugz,Drugs and Chemicals,Psychedelics,DMT,DMT,500 mg Dutch Quality Changa || 60% MAOi || 33% DMT,41.77,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-mg-dutch-quality-changa-60-maoi-33-dmt
4314,ezinpharma,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,2g Pure KETAMINE ..Top QUALITY A++ (USA - USA),190.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-pure-ketamine-top-quality-a-usa-usa
4315,EUROSHOPPER,Drugs and Chemicals,Ecstasy,MDMA,MDMA,10g PURE MEPHEDRONE 4-MMC,107.40,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10g-pure-mephedrone-4-mmc
4316,oxytop,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,280 × Percocet ( Oxycodone/Acetaminophen ) 5/325mg,"1,966.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/280-percocet-oxycodoneacetaminophen-5325mg
4317,strassenapo1312,Drugs and Chemicals,Stimulants,Speed,Speed,25G Amphetaminsulfat Speed Dried Powder,130.00,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25g-amphetaminsulfat-speed-dried-powder
4318,SharkTank,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,7 Gram High Quality Uncut Cocaine 90%,480.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7-gram-high-quality-uncut-cocaine-90
4319,godelicious,Drugs and Chemicals,Psychedelics,LSD,LSD,50x // LSD 250UG NEEDLEPOINT ** HOFFMAN ** // LSD,214.79,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50x-lsd-250ug-needlepoint-hoffman-lsd
4320,CocaineMaster,Drugs and Chemicals,,,Drugs and Chemicals,2GR PURE COLOMBIAN COCAINE 100% (PURE/UNCUT),139.02,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2gr-pure-colombian-cocaine-100-pureuncut
4321,SmartStore,Drugs and Chemicals,Accessories,,Accessories,Taser Gun + 3 Air Cartridges,95.46,China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/taser-gun-3-air-cartridges
4322,DrugHubOz,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,2G Bolivian Cocaine,496.11,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-bolivian-cocaine
4323,HilfigerOriginal,Drugs and Chemicals,Stimulants,Adderal,Adderal,[EU-WW] 80MG ADDERAL BITINEX Egis Brand 35$/pills,35.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/eu-ww-80mg-adderal-bitinex-egis-brand-35pills
4324,MidnightExchange,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,28g AAA+ Indoor-Grown GMO Strain FREE SHIPPING,259.99,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-aaa-indoor-grown-gmo-strain-free-shipping
4325,LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,25 ELMO LSD tab 50 micro grams,57.01,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-elmo-lsd-tab-50-micro-grams
4326,DrugAmazon,Drugs and Chemicals,Stimulants,Speed,Speed,250g Fresh A-Oil Speed Paste 100% Uncut,953.45,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250g-fresh-a-oil-speed-paste-100-uncut
4327,Hofmanncrew,Drugs and Chemicals,Psychedelics,LSD,LSD,[PROMO] EU-WW 10x 200ug THE HOLY FAMILY,17.89,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/promo-eu-ww-10x-200ug-the-holy-family-15
4328,megadrug3,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Half pound of  Girl Scout Cookies,700.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/half-pound-of-girl-scout-cookies
4329,dutchdragonz,Drugs and Chemicals,Stimulants,Speed,Speed,200 GRAM*** Amphetamine Paste*** Speed Paste 72%,204.00,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/200-gram-amphetamine-paste-speed-paste-72-1
4330,americansteroids,Drugs and Chemicals,Steroids,,Steroids,Nolvadex (Tamoxifen) Liquid,35.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/nolvadex-tamoxifen-liquid
4331,RoleXx17,Drugs and Chemicals,Cannabis & Hash,,Cannabis & Hash,1 GR AMNESIA HAZE,20.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-amnesia-haze-1
4332,rolltroycorps,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,hash mousseux MAF 10GR 90E,107.40,France,France,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/hash-mousseux-maf-10gr-90e
4333,uk1day,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,1G STRONG SOCIABLE COCAINE,62.56,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1g-strong-sociable-cocaine
4334,Licensedbud,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,RomulanIndica+Hindu Kush 28g free shipping,225.00,,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/romulanindicahindu-kush-28g-free-shipping
4335,Robkam123,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,Pink Death   28 Grams,175.00,Canada,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/pink-death-28-grams
4336,Island_Paradise,Drugs and Chemicals,Ecstasy,Pills,Pills,[250x] ★ XTC YELLOW HEISENBERG 240MG MDMA ★,298.32,Germany,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/250x-xtc-yellow-heisenberg-240mg-mdma
4337,50bucks,Drugs and Chemicals,Stimulants,Meth,Meth,3.5 grams A++ Crystal Meth (ICE),580.60,Australia,Australia,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/35-grams-a-crystal-meth-ice
4338,Chemicalexpress,Drugs and Chemicals,Stimulants,Speed,Speed,50 GRAM SPEED AMPHETAMINE PASTE 80%,101.43,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-gram-speed-amphetamine-paste-80
4339,NewAmsterdam,Drugs and Chemicals,Ecstasy,Pills,Pills,100x - XTC GRENADES 300MG MDMA - SUPERSTRONG PILLS,143.20,Netherlands,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100x-xtc-grenades-300mg-mdma-superstrong-pills
4340,PostNL,Drugs and Chemicals,Stimulants,Crack,Crack,1 gram High Quality Crack Cocaine [90%],62.65,Netherlands,Netherlands,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gram-high-quality-crack-cocaine-90-1
4341,klaasflakko,Drugs and Chemicals,Stimulants,Meth,Meth,500 gr // ❄️ Crystal Meth - Ice ❄️,"13,722.95",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/500-gr-crystal-meth-ice
4342,alfa,Drugs and Chemicals,Psychedelics,LSD,LSD,10 x 180ug LSD Blotters Hoffman,40.57,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10-x-180ug-lsd-blotters-hoffman
4343,RoleXx17,Drugs and Chemicals,Opiates,Heroin,Heroin,1 GR ★  Iranian Heroin ★ 70%★ FREE Shipping ★,17.90,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/1-gr-iranian-heroin-70-free-shipping
4344,LucySkyDiamonds,Drugs and Chemicals,Psychedelics,LSD,LSD,50 LSD SONIC tab 130 micro grams,225.00,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-lsd-sonic-tab-130-micro-grams
4345,ThreeKings,Drugs and Chemicals,Steroids,,Steroids,Anastrozole / Arimidex 1mg 30tab Royal,20.29,Latvia,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/anastrozole-arimidex-1mg-30tab-royal
4346,StreetLegend,Drugs and Chemicals,Ecstasy,MDMA,MDMA,2.5 Gr Champagne MDMA - 84%,40.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/25-gr-champagne-mdma-84-2
4347,Obststand,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,"0,5g Bolivian Cocaine from brick 93% uncut",69.21,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/05g-bolivian-cocaine-from-brick-93-uncut
4348,PengBudsUK,Drugs and Chemicals,Cannabis & Hash,Edibles,Edibles,6 Pieces of THC Infused Chocolate Chunks (600mg),25.02,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/6-pieces-of-thc-infused-chocolate-chunks-600mg
4349,Everylittlehalps,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,LIMITIED 1g 💎 BOLIVIAN COCAINE 💎 90%+ PURITY!!,125.12,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/limitied-1g-bolivian-cocaine-90-purity
4350,RxSubDepot,Drugs and Chemicals,Opiates,Buprenorphine,Buprenorphine,Suboxone 8mg film **5ct,95.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/suboxone-8mg-film-5ct
4351,vanillasurf,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,🇬🇧 🇮🇪HIGHEST QUALITY COCAINE🇮🇪 🇬🇧   1 GRAM,111.22,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/highest-quality-cocaine-1-gram
4352,akgeneric,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,Faslodex 250mg Inj (Fulvestrant5ml1vial (Cancer),"1,000.00",India,"United Kingdom, United States",http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/faslodex-250mg-inj-fulvestrant5ml1vial-cancer
4353,QUICKDRUGSUK,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,14G STARDAWG CALI WEED,208.53,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14g-stardawg-cali-weed
4354,oxytop,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,"50 x Brand Oxycontin, OC 40mg - Crushable - US-US","1,800.00",United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-x-brand-oxycontin-oc-40mg-crushable-us-us
4355,Everylittlehalps,Drugs and Chemicals,Ecstasy,MDMA,MDMA,7g Dutch Champagne MDMA 92% H.Q,83.41,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-dutch-champagne-mdma-92-hq
4356,ASAPRockyMDMA,Drugs and Chemicals,Ecstasy,,Ecstasy,Freebie - 2 x mdma capsules Sample pack,0.10,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/freebie-2-x-mdma-capsules-sample-pack
4357,GermanMasters,Drugs and Chemicals,Psychedelics,2C-B,2C-B,10x || 2CB GOLDEN OREO 30MG 2CB,33.41,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-2cb-golden-oreo-30mg-2cb
4358,Fairfax,Drugs and Chemicals,Stimulants,Meth,Meth,2g Crystal Meth HQ ICE SHARDS / GER-EU,135.00,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/2g-crystal-meth-hq-ice-shards-ger-eu
4359,PitStopUK,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,100x Gorilla Glue 5000mg XTREME 5ML VAPE LIQUID,"2,641.43",United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100x-gorilla-glue-5000mg-xtreme-5ml-vape-liquid
4360,superfleks,Drugs and Chemicals,Opiates,Heroin,Heroin,20gr 100% Pure Heroin AAA+ NO BULLSHIT,894.97,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/20gr-100-pure-heroin-aaa-no-bullshit
4361,tomandjerry,Drugs and Chemicals,Dissociatives,Ketamine,Ketamine,100 grams Ketamine [S],"1,649.00",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-grams-ketamine-s
4362,California420Service,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,ROVE SHERBET 1G VAPE CART,150.00,United States,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/rove-sherbet-1g-vape-cart
4363,kamagra4bitcoin,Drugs and Chemicals,Prescriptions Drugs,,Prescriptions Drugs,"Vidalista 40 x 1000 pills, 100 blisters",381.86,,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/vidalista-40-x-1000-pills-100-blisters
4364,THEPOSTMAN,Drugs and Chemicals,,,Drugs and Chemicals,28g CHEMDAWG PREMIUM FLOWER *FREE UK SHIPPING*,285.00,United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-chemdawg-premium-flower-free-uk-shipping
4365,messiah,Drugs and Chemicals,Opiates,Oxycodone,Oxycodone,*30/80MG* PURE Oxycodone DIRECT PHARMACY 400PILLS,"3,550.00",,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/3080mg-pure-oxycodone-direct-pharmacy-400pills
4366,NextGeneration,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,28g Peruvian 89% FISHSCALE COCAINE,"2,502.41",United Kingdom,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/28g-peruvian-89-fishscale-cocaine
4367,CoffeeshopTM,Drugs and Chemicals,Cannabis & Hash,Hash,Hash,15g of good quality Ketama Hash from coffeeshop,89.50,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/15g-of-good-quality-ketama-hash-from-coffeeshop
4368,mrblueman,Drugs and Chemicals,Psychedelics,LSD,LSD,100 - LSD 250uq,357.99,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/100-lsd-250uq
4369,muhshrooms,Drugs and Chemicals,Psychedelics,Mushrooms,Mushrooms,Microdose Capsules psilocybe cubensis 10 x 250mg,29.00,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/microdose-capsules-psilocybe-cubensis-10-x-250mg
4370,DmtTimes,Drugs and Chemicals,Psychedelics,DMT,DMT,14 Gram Freebase DMT,813.28,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/14-gram-freebase-dmt
4371,WeedPhantom,Drugs and Chemicals,Cannabis & Hash,Buds & Flowers,Buds & Flowers,5g *BestSecret* Super Lemon Haze A+++,65.63,Germany,Germany,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5g-bestsecret-super-lemon-haze-a
4372,SMACKERS,Drugs and Chemicals,Benzos,Pills,Pills,XANAX BARS! 50x B707 XANAX 2mg Boeings REAL ALP,99.00,United States,United States,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/xanax-bars-50x-b707-xanax-2mg-boeings-real-alp
4373,Mont-Blanc,Drugs and Chemicals,Psychedelics,2C-B,2C-B,50x neon yellow Batman 25mg 2C-B Pills,143.20,Germany,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50x-neon-yellow-batman-25mg-2c-b-pills
4374,Everylittlehalps,Drugs and Chemicals,Ecstasy,MDMA,MDMA,*LIMITED.OFFER* 7G PURE MDMA PLATINUM 86% CRYSTAL,104.27,United Kingdom,United Kingdom,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/limitedoffer-7g-pure-mdma-platinum-86-crystal
4375,ShinyFlakez,Drugs and Chemicals,Stimulants,Meth,Meth,50 Gr Crystal-Meth,"1,551.29",Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/50-gr-crystal-meth
4376,thelab1,Drugs and Chemicals,,,Drugs and Chemicals,SGT-151 -  100g,"1,600.00",China,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/sgt-151-100g
4377,RoleXx17,Drugs and Chemicals,Psychedelics,LSD,LSD,5 X LSD 250UG ALBERT HOFMANN NEEDLEPOINT BLOTTERS,25.00,Netherlands,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-x-lsd-250ug-albert-hofmann-needlepoint-blotters-8
4378,RoyalMailer,Drugs and Chemicals,Cannabis & Hash,Vaping,Vaping,10x Kiwi Lime THC Vape Juice 10ml - UK,375.36,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/10x-kiwi-lime-thc-vape-juice-10ml-uk
4379,TheStudentShop,Drugs and Chemicals,Ecstasy,MDMA,MDMA,5 GR DUTCH MDMA,50.00,Netherlands,Europe,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/5-gr-dutch-mdma
4380,cokespecialist,Drugs and Chemicals,Stimulants,Cocaine,Cocaine,7G BEST QUALITY uk VENDOR 88-90% COCAINE,702.06,United Kingdom,Worldwide,http://yxuy5oau7nugw4kpb4lclrqdbixp3wvc4iuiad23ebyp2q3gx7rtrgqd.onion/items/7g-best-quality-uk-vendor-88-90-cocaine
